Locality,Type,Rent,Area,Furnishing_Status,Bathroom,Balcony,Parking,Carpet_Area,Annual_Rent,Price,ROI (%)
andheri,2,54000,840.0,1,2.0,1.0,1.0,700.0,648000,8400000.0,7.7142857142857135
andheri,2,43000,840.0,1,2.0,1.0,1.0,700.0,516000,8400000.0,6.142857142857143
andheri,3,105000,1325.0,1,3.0,2.0,2.0,1081.0,1260000,13250000.0,9.50943396226415
andheri,3,85000,1150.0,1,2.0,1.0,2.0,887.0,1020000,11500000.0,8.869565217391303
andheri,2,68000,950.0,1,2.0,2.0,1.0,680.0,816000,9500000.0,8.589473684210526
andheri,3,65000,1100.0,1,3.0,2.0,1.0,820.0,780000,11000000.0,7.090909090909091
andheri,2,60000,1050.0,2,2.0,3.0,2.0,750.0,720000,10500000.0,6.857142857142858
andheri,2,51000,1000.0,1,2.0,2.0,1.0,900.0,612000,10000000.0,6.12
andheri,2,52000,1000.0,1,2.0,2.0,1.0,900.0,624000,10000000.0,6.239999999999999
andheri,2,53000,1000.0,1,2.0,2.0,1.0,900.0,636000,10000000.0,6.36
andheri,2,54000,1000.0,1,2.0,2.0,1.0,900.0,648000,10000000.0,6.48
andheri,3,120000,1370.0,0,3.0,1.0,2.0,1147.0,1440000,13700000.0,10.510948905109489
andheri,2,65000,950.0,0,2.0,1.0,1.0,690.0,780000,9500000.0,8.210526315789474
andheri,0,25000,651.0,1,2.0,2.0,3.0,550.0,300000,6510000.0,4.6082949308755765
andheri,2,75000,1100.0,1,2.0,2.0,1.0,800.0,900000,11000000.0,8.181818181818182
andheri,2,40000,800.0,1,2.0,2.0,1.0,700.0,480000,8000000.0,6.0
andheri,2,45000,900.0,1,2.0,1.0,1.0,670.0,540000,9000000.0,6.0
andheri,3,65000,1300.0,1,2.0,1.0,2.0,1100.0,780000,13000000.0,6.0
andheri,3,100000,1600.0,0,3.0,1.0,1.0,1100.0,1200000,16000000.0,7.5
andheri,2,53000,1000.0,0,2.0,1.0,1.0,700.0,636000,10000000.0,6.36
andheri,0,45000,650.0,0,2.0,1.0,1.0,485.0,540000,6500000.0,8.307692307692308
andheri,0,34000,650.0,0,2.0,1.0,1.0,510.0,408000,6500000.0,6.276923076923077
andheri,0,32000,550.0,1,1.0,1.0,1.0,430.0,384000,5500000.0,6.981818181818182
andheri,2,45000,900.0,1,2.0,2.0,1.0,650.0,540000,9000000.0,6.0
andheri,2,105000,1200.0,0,2.0,1.0,1.0,820.0,1260000,12000000.0,10.5
andheri,0,35000,580.0,0,1.0,1.0,1.0,435.0,420000,5800000.0,7.241379310344828
andheri,0,38000,600.0,0,1.0,1.0,1.0,500.0,456000,6000000.0,7.6
andheri,3,70000,1450.0,2,3.0,1.0,1.0,1000.0,840000,14500000.0,5.793103448275862
andheri,3,155000,2000.0,1,3.0,1.0,3.0,1450.0,1860000,20000000.0,9.3
andheri,2,49000,950.0,2,2.0,1.0,1.0,670.0,588000,9500000.0,6.189473684210527
andheri,3,65000,1600.0,2,3.0,3.0,1.0,1000.0,780000,16000000.0,4.875
andheri,2,50000,1250.0,1,2.0,2.0,1.0,750.0,600000,12500000.0,4.8
andheri,3,65000,1250.0,1,2.0,2.0,1.0,850.0,780000,12500000.0,6.239999999999999
andheri,3,70000,1600.0,1,3.0,1.0,1.0,1000.0,840000,16000000.0,5.25
andheri,2,68000,900.0,0,2.0,2.0,1.0,750.0,816000,9000000.0,9.066666666666666
andheri,2,55000,1250.0,1,2.0,2.0,1.0,800.0,660000,12500000.0,5.28
andheri,2,50000,1020.0,0,2.0,2.0,1.0,850.0,600000,10200000.0,5.88235294117647
andheri,2,62000,1300.0,1,2.0,1.0,1.0,800.0,744000,13000000.0,5.723076923076923
andheri,2,70000,1300.0,0,2.0,1.0,1.0,800.0,840000,13000000.0,6.461538461538462
andheri,2,50000,1300.0,1,2.0,2.0,1.0,840.0,600000,13000000.0,4.615384615384616
andheri,2,41000,1200.0,1,2.0,1.0,2.0,670.0,492000,12000000.0,4.1000000000000005
andheri,2,55000,1250.0,1,2.0,2.0,1.0,840.0,660000,12500000.0,5.28
andheri,2,50000,950.0,1,2.0,2.0,1.0,900.0,600000,9500000.0,6.315789473684211
andheri,3,54000,1050.0,1,3.0,1.0,1.0,950.0,648000,10500000.0,6.171428571428572
andheri,3,53000,1050.0,1,3.0,1.0,1.0,950.0,636000,10500000.0,6.057142857142858
andheri,3,65000,1350.0,1,3.0,1.0,1.0,1200.0,780000,13500000.0,5.777777777777778
andheri,3,64000,1350.0,1,3.0,1.0,1.0,1200.0,768000,13500000.0,5.688888888888889
andheri,2,50000,1000.0,0,2.0,2.0,1.0,900.0,600000,10000000.0,6.0
andheri,2,50000,800.0,1,2.0,1.0,0.0,650.0,600000,8000000.0,7.5
andheri,2,51000,800.0,1,2.0,1.0,0.0,650.0,612000,8000000.0,7.649999999999999
andheri,2,50000,750.0,1,2.0,1.0,1.0,650.0,600000,7500000.0,8.0
andheri,3,63000,1350.0,1,3.0,1.0,1.0,1200.0,756000,13500000.0,5.6000000000000005
andheri,2,55000,1300.0,2,2.0,1.0,1.0,890.0,660000,13000000.0,5.076923076923077
andheri,3,78000,1800.0,0,3.0,1.0,1.0,1200.0,936000,18000000.0,5.2
andheri,0,32000,800.0,1,1.0,2.0,1.0,435.0,384000,8000000.0,4.8
andheri,2,42000,1050.0,1,2.0,4.0,1.0,650.0,504000,10500000.0,4.8
andheri,0,35000,665.0,1,1.0,3.0,1.0,450.0,420000,6650000.0,6.315789473684211
andheri,2,45000,1050.0,1,2.0,3.0,1.0,850.0,540000,10500000.0,5.142857142857142
andheri,3,65000,2000.0,1,3.0,5.0,1.0,1550.0,780000,20000000.0,3.9
andheri,3,70000,2000.0,1,2.0,3.0,1.0,1580.0,840000,20000000.0,4.2
andheri,2,43000,1200.0,0,2.0,1.0,2.0,750.0,516000,12000000.0,4.3
andheri,2,50000,1200.0,2,2.0,1.0,1.0,750.0,600000,12000000.0,5.0
andheri,2,49000,1125.0,2,2.0,3.0,1.0,740.0,588000,11250000.0,5.226666666666667
andheri,2,55000,1200.0,1,2.0,3.0,1.0,746.0,660000,12000000.0,5.5
andheri,2,49000,1200.0,2,2.0,3.0,1.0,740.0,588000,12000000.0,4.9
andheri,2,55000,1250.0,2,2.0,2.0,1.0,750.0,660000,12500000.0,5.28
andheri,2,44000,1300.0,2,2.0,2.0,2.0,750.0,528000,13000000.0,4.061538461538461
andheri,3,138000,1690.0,0,3.0,3.0,2.0,1122.0,1656000,16900000.0,9.798816568047338
andheri,2,44000,850.0,1,2.0,3.0,1.0,750.0,528000,8500000.0,6.211764705882353
andheri,2,45000,1000.0,1,2.0,2.0,2.0,645.0,540000,10000000.0,5.4
andheri,0,34500,626.0,2,2.0,1.0,1.0,501.0,414000,6260000.0,6.613418530351438
andheri,0,38000,650.0,2,2.0,1.0,2.0,450.0,456000,6500000.0,7.015384615384615
andheri,3,55000,1136.0,2,2.0,2.0,1.0,803.0,660000,11360000.0,5.809859154929577
andheri,0,34565,603.0,1,2.0,1.0,1.0,515.0,414780,6030000.0,6.8786069651741295
andheri,3,75000,987.0,1,2.0,2.0,2.0,880.0,900000,9870000.0,9.118541033434653
andheri,3,70000,987.0,1,2.0,2.0,2.0,880.0,840000,9870000.0,8.51063829787234
andheri,2,65000,1010.0,0,2.0,1.0,1.0,875.0,780000,10100000.0,7.722772277227722
andheri,2,57000,978.0,0,2.0,1.0,1.0,792.0,684000,9780000.0,6.993865030674846
andheri,2,34562,600.0,2,2.0,1.0,1.0,525.0,414744,6000000.0,6.912400000000001
andheri,2,45000,1200.0,0,2.0,1.0,2.0,450.0,540000,12000000.0,4.5
andheri,0,34502,600.0,2,1.0,1.0,1.0,525.0,414024,6000000.0,6.900399999999999
andheri,3,78963,1485.0,1,3.0,3.0,2.0,1195.0,947556,14850000.0,6.380848484848485
andheri,2,65000,1200.0,0,2.0,2.0,2.0,750.0,780000,12000000.0,6.5
andheri,2,90000,1122.0,2,2.0,3.0,2.0,850.0,1080000,11220000.0,9.62566844919786
andheri,0,32569,575.0,2,1.0,1.0,1.0,425.0,390828,5750000.0,6.797008695652174
andheri,2,55000,986.0,0,2.0,2.0,1.0,750.0,660000,9860000.0,6.693711967545639
andheri,2,42000,1050.0,1,2.0,2.0,1.0,750.0,504000,10500000.0,4.8
andheri,3,52001,1252.0,2,2.0,2.0,1.0,878.0,624012,12520000.0,4.984121405750798
andheri,0,31256,600.0,2,2.0,1.0,1.0,485.0,375072,6000000.0,6.2512
andheri,3,56000,1545.0,2,3.0,3.0,1.0,1050.0,672000,15450000.0,4.349514563106796
andheri,2,65000,920.0,1,2.0,1.0,1.0,710.0,780000,9200000.0,8.478260869565217
andheri,3,60000,1250.0,1,2.0,1.0,1.0,850.0,720000,12500000.0,5.76
andheri,3,70000,1400.0,1,3.0,1.0,1.0,836.0,840000,14000000.0,6.0
andheri,2,55000,1250.0,1,2.0,1.0,1.0,750.0,660000,12500000.0,5.28
andheri,2,47500,910.0,2,2.0,2.0,1.0,689.0,570000,9100000.0,6.263736263736264
andheri,3,70000,1550.0,1,3.0,1.0,1.0,970.0,840000,15500000.0,5.419354838709677
andheri,2,57000,1122.0,2,2.0,3.0,2.0,870.0,684000,11220000.0,6.096256684491978
andheri,3,85000,1550.0,0,3.0,1.0,2.0,1122.0,1020000,15500000.0,6.580645161290323
andheri,2,55000,1122.0,2,2.0,4.0,2.0,865.0,660000,11220000.0,5.88235294117647
andheri,2,65000,1500.0,1,3.0,1.0,2.0,970.0,780000,15000000.0,5.2
andheri,3,75685,1450.0,1,3.0,2.0,2.0,1122.0,908220,14500000.0,6.263586206896552
andheri,2,44569,910.0,1,2.0,1.0,1.0,750.0,534828,9100000.0,5.87723076923077
andheri,0,33589,600.0,1,2.0,1.0,1.0,505.0,403068,6000000.0,6.7178
andheri,2,56588,1010.0,0,2.0,1.0,1.0,750.0,679056,10100000.0,6.723326732673267
andheri,2,48000,900.0,1,2.0,2.0,1.0,700.0,576000,9000000.0,6.4
andheri,2,55000,920.0,1,2.0,2.0,1.0,730.0,660000,9200000.0,7.173913043478261
andheri,2,42000,1020.0,1,2.0,3.0,1.0,680.0,504000,10200000.0,4.941176470588235
andheri,2,36000,850.0,1,2.0,4.0,1.0,685.0,432000,8500000.0,5.08235294117647
andheri,2,58978,1010.0,0,2.0,2.0,1.0,879.0,707736,10100000.0,7.007287128712872
andheri,2,55789,1010.0,0,2.0,1.0,1.0,879.0,669468,10100000.0,6.6283960396039605
andheri,3,55000,1250.0,2,3.0,1.0,1.0,791.0,660000,12500000.0,5.28
andheri,2,50000,1021.0,2,2.0,1.0,1.0,800.0,600000,10210000.0,5.876591576885407
andheri,3,56000,1545.0,1,3.0,3.0,1.0,990.0,672000,15450000.0,4.349514563106796
andheri,2,47001,867.0,1,2.0,1.0,1.0,723.0,564012,8670000.0,6.505328719723183
andheri,3,75000,1350.0,2,3.0,1.0,1.0,1050.0,900000,13500000.0,6.666666666666667
andheri,3,75000,1309.0,0,1.0,1.0,2.0,980.0,900000,13090000.0,6.875477463712758
andheri,2,90000,950.0,0,2.0,1.0,1.0,750.0,1080000,9500000.0,11.36842105263158
andheri,2,48000,950.0,2,2.0,3.0,1.0,650.0,576000,9500000.0,6.063157894736841
andheri,2,48000,900.0,2,2.0,2.0,1.0,650.0,576000,9000000.0,6.4
andheri,3,80000,1100.0,0,2.0,1.0,2.0,987.0,960000,11000000.0,8.727272727272728
andheri,2,48000,900.0,2,2.0,2.0,1.0,650.0,576000,9000000.0,6.4
andheri,3,78000,1700.0,2,3.0,3.0,2.0,1400.0,936000,17000000.0,5.505882352941176
andheri,2,52000,900.0,2,2.0,3.0,1.0,600.0,624000,9000000.0,6.933333333333333
andheri,3,83000,1600.0,1,3.0,2.0,2.0,1200.0,996000,16000000.0,6.225
andheri,0,33000,550.0,0,1.0,1.0,1.0,475.0,396000,5500000.0,7.199999999999999
andheri,0,30000,580.0,2,1.0,1.0,1.0,500.0,360000,5800000.0,6.206896551724138
andheri,3,125000,1280.0,0,2.0,1.0,2.0,980.0,1500000,12800000.0,11.71875
andheri,0,35000,575.0,1,1.0,1.0,1.0,500.0,420000,5750000.0,7.304347826086957
andheri,2,35000,700.0,0,2.0,1.0,1.0,550.0,420000,7000000.0,6.0
andheri,3,125000,1400.0,0,2.0,1.0,2.0,1080.0,1500000,14000000.0,10.714285714285714
andheri,3,75000,1100.0,2,3.0,1.0,1.0,900.0,900000,11000000.0,8.181818181818182
andheri,3,95000,1600.0,0,2.0,2.0,2.0,1100.0,1140000,16000000.0,7.124999999999999
andheri,3,90000,1500.0,0,2.0,2.0,2.0,1200.0,1080000,15000000.0,7.199999999999999
andheri,3,80000,1600.0,2,3.0,1.0,2.0,1100.0,960000,16000000.0,6.0
andheri,0,39000,700.0,0,2.0,1.0,1.0,480.0,468000,7000000.0,6.685714285714285
andheri,0,35000,500.0,0,1.0,1.0,1.0,450.0,420000,5000000.0,8.4
andheri,0,15000,350.0,1,1.0,1.0,2.0,270.0,180000,3500000.0,5.142857142857142
andheri,3,75000,1500.0,2,3.0,3.0,1.0,1100.0,900000,15000000.0,6.0
andheri,0,20000,510.0,1,1.0,1.0,2.0,450.0,240000,5100000.0,4.705882352941177
andheri,2,46000,1400.0,1,2.0,1.0,1.0,910.0,552000,14000000.0,3.942857142857143
andheri,3,130000,1823.0,1,4.0,4.0,2.0,1300.0,1560000,18230000.0,8.557323093801426
andheri,3,99000,1200.0,0,3.0,1.0,1.0,980.0,1188000,12000000.0,9.9
andheri,2,58000,1100.0,0,2.0,2.0,1.0,750.0,696000,11000000.0,6.327272727272727
andheri,2,60000,1020.0,0,2.0,1.0,2.0,840.0,720000,10200000.0,7.0588235294117645
andheri,2,49000,980.0,0,2.0,1.0,2.0,720.0,588000,9800000.0,6.0
andheri,0,34000,600.0,1,1.0,1.0,1.0,500.0,408000,6000000.0,6.800000000000001
andheri,0,23000,600.0,2,2.0,1.0,1.0,460.0,276000,6000000.0,4.6
andheri,2,43000,980.0,1,2.0,1.0,2.0,710.0,516000,9800000.0,5.26530612244898
andheri,0,32000,670.0,0,2.0,1.0,2.0,450.0,384000,6700000.0,5.731343283582089
andheri,2,38000,1200.0,2,2.0,3.0,1.0,760.0,456000,12000000.0,3.8
andheri,0,28000,670.0,2,2.0,1.0,1.0,480.0,336000,6700000.0,5.014925373134329
andheri,2,45000,980.0,0,2.0,1.0,2.0,720.0,540000,9800000.0,5.510204081632653
andheri,3,135000,1450.0,0,3.0,1.0,2.0,1170.0,1620000,14500000.0,11.172413793103448
andheri,2,45000,900.0,1,2.0,1.0,1.0,700.0,540000,9000000.0,6.0
andheri,2,55000,900.0,0,2.0,2.0,1.0,700.0,660000,9000000.0,7.333333333333333
andheri,3,85000,1280.0,1,2.0,1.0,2.0,1080.0,1020000,12800000.0,7.968749999999999
andheri,2,35000,1000.0,0,2.0,2.0,1.0,750.0,420000,10000000.0,4.2
andheri,2,75000,1500.0,1,2.0,2.0,3.0,1200.0,900000,15000000.0,6.0
andheri,2,41000,1050.0,1,2.0,2.0,1.0,750.0,492000,10500000.0,4.685714285714285
andheri,2,35000,1000.0,0,2.0,2.0,1.0,750.0,420000,10000000.0,4.2
andheri,2,35000,900.0,1,2.0,1.0,1.0,700.0,420000,9000000.0,4.666666666666667
andheri,1,12000,310.0,0,1.0,1.0,2.0,225.0,144000,3100000.0,4.645161290322581
andheri,0,35000,850.0,1,2.0,1.0,1.0,700.0,420000,8500000.0,4.941176470588235
andheri,2,42500,950.0,1,2.0,2.0,1.0,730.0,510000,9500000.0,5.36842105263158
andheri,3,63000,1350.0,1,3.0,1.0,2.0,1020.0,756000,13500000.0,5.6000000000000005
andheri,3,125000,1750.0,2,3.0,1.0,1.0,1150.0,1500000,17500000.0,8.571428571428571
andheri,0,24000,550.0,1,1.0,1.0,1.0,419.0,288000,5500000.0,5.236363636363636
andheri,2,60000,850.0,0,2.0,1.0,2.0,700.0,720000,8500000.0,8.470588235294118
andheri,3,90000,1250.0,0,3.0,1.0,2.0,1050.0,1080000,12500000.0,8.64
andheri,3,110000,1550.0,0,3.0,1.0,2.0,1250.0,1320000,15500000.0,8.516129032258064
andheri,0,25000,450.0,2,2.0,1.0,2.0,410.0,300000,4500000.0,6.666666666666667
andheri,2,45000,1200.0,2,2.0,1.0,1.0,850.0,540000,12000000.0,4.5
andheri,0,33000,500.0,2,1.0,1.0,0.0,410.0,396000,5000000.0,7.920000000000001
andheri,3,90000,1752.0,1,4.0,1.0,1.0,1250.0,1080000,17520000.0,6.164383561643835
andheri,0,46000,750.0,0,1.0,1.0,1.0,600.0,552000,7500000.0,7.359999999999999
andheri,2,68000,1000.0,0,2.0,1.0,1.0,750.0,816000,10000000.0,8.16
andheri,3,62000,1350.0,1,3.0,1.0,2.0,1020.0,744000,13500000.0,5.511111111111111
andheri,2,55000,925.0,1,2.0,1.0,1.0,660.0,660000,9250000.0,7.135135135135136
andheri,3,110000,1661.0,0,3.0,1.0,1.0,1185.0,1320000,16610000.0,7.947019867549669
andheri,2,72000,1080.0,0,2.0,3.0,2.0,750.0,864000,10800000.0,8.0
andheri,0,17000,280.0,0,1.0,1.0,1.0,225.0,204000,2800000.0,7.285714285714286
andheri,2,80000,950.0,0,2.0,1.0,1.0,700.0,960000,9500000.0,10.105263157894736
andheri,3,150000,1680.0,1,3.0,2.0,2.0,1350.0,1800000,16800000.0,10.714285714285714
andheri,2,45000,1365.0,1,2.0,1.0,1.0,880.0,540000,13650000.0,3.956043956043956
andheri,2,42000,1381.0,1,2.0,1.0,1.0,865.0,504000,13810000.0,3.6495293265749456
andheri,3,140000,1800.0,2,3.0,1.0,2.0,1280.0,1680000,18000000.0,9.333333333333334
andheri,3,150000,2265.0,0,4.0,2.0,1.0,1515.0,1800000,22650000.0,7.947019867549669
andheri,3,80000,1500.0,0,3.0,2.0,2.0,1150.0,960000,15000000.0,6.4
andheri,2,41000,980.0,2,2.0,1.0,2.0,750.0,492000,9800000.0,5.020408163265306
andheri,2,40500,880.0,2,2.0,1.0,2.0,705.0,486000,8800000.0,5.5227272727272725
andheri,0,21000,550.0,1,2.0,1.0,1.0,435.0,252000,5500000.0,4.581818181818182
andheri,2,42000,980.0,2,2.0,1.0,2.0,730.0,504000,9800000.0,5.142857142857142
andheri,2,60000,850.0,0,2.0,1.0,1.0,650.0,720000,8500000.0,8.470588235294118
andheri,2,68000,1050.0,0,2.0,2.0,2.0,780.0,816000,10500000.0,7.77142857142857
andheri,0,26000,600.0,1,2.0,1.0,2.0,450.0,312000,6000000.0,5.2
andheri,2,40000,950.0,2,2.0,1.0,2.0,710.0,480000,9500000.0,5.052631578947368
andheri,0,27000,670.0,2,2.0,1.0,2.0,450.0,324000,6700000.0,4.835820895522388
andheri,0,24000,690.0,2,2.0,1.0,2.0,470.0,288000,6900000.0,4.173913043478262
andheri,2,56000,980.0,0,2.0,1.0,2.0,780.0,672000,9800000.0,6.857142857142858
andheri,0,28000,680.0,1,2.0,1.0,2.0,470.0,336000,6800000.0,4.941176470588235
andheri,2,53000,980.0,0,2.0,1.0,2.0,760.0,636000,9800000.0,6.489795918367348
andheri,2,54000,910.0,0,2.0,1.0,2.0,740.0,648000,9100000.0,7.120879120879121
andheri,2,65000,1060.0,0,2.0,2.0,1.0,645.0,780000,10600000.0,7.358490566037735
andheri,3,100000,1050.0,1,2.0,2.0,1.0,864.0,1200000,10500000.0,11.428571428571429
andheri,2,33000,1075.0,1,2.0,1.0,1.0,740.0,396000,10750000.0,3.683720930232558
andheri,0,31000,670.0,2,2.0,1.0,2.0,450.0,372000,6700000.0,5.552238805970149
andheri,2,79000,1000.0,1,2.0,2.0,1.0,850.0,948000,10000000.0,9.48
andheri,3,115000,1550.0,0,3.0,3.0,2.0,1210.0,1380000,15500000.0,8.903225806451614
andheri,2,75000,1060.0,1,2.0,2.0,1.0,802.0,900000,10600000.0,8.49056603773585
andheri,0,29000,450.0,0,2.0,2.0,1.0,400.0,348000,4500000.0,7.733333333333333
andheri,2,45000,1395.0,2,2.0,1.0,1.0,890.0,540000,13950000.0,3.870967741935484
andheri,2,41000,930.0,2,2.0,1.0,2.0,710.0,492000,9300000.0,5.290322580645161
andheri,2,40000,950.0,2,2.0,1.0,2.0,720.0,480000,9500000.0,5.052631578947368
andheri,0,35000,650.0,1,2.0,1.0,2.0,450.0,420000,6500000.0,6.461538461538462
andheri,2,42000,930.0,2,2.0,1.0,2.0,720.0,504000,9300000.0,5.419354838709677
andheri,0,40000,600.0,0,2.0,1.0,1.0,450.0,480000,6000000.0,8.0
andheri,3,65000,1200.0,2,3.0,3.0,0.0,1100.0,780000,12000000.0,6.5
andheri,3,65000,1400.0,0,3.0,1.0,1.0,1200.0,780000,14000000.0,5.571428571428571
andheri,0,32000,600.0,0,2.0,1.0,1.0,450.0,384000,6000000.0,6.4
andheri,0,41000,650.0,0,2.0,1.0,2.0,450.0,492000,6500000.0,7.56923076923077
andheri,0,34000,650.0,0,2.0,1.0,2.0,450.0,408000,6500000.0,6.276923076923077
andheri,2,46000,980.0,1,2.0,1.0,2.0,760.0,552000,9800000.0,5.63265306122449
andheri,0,25000,670.0,2,1.0,1.0,2.0,450.0,300000,6700000.0,4.477611940298507
andheri,0,40000,670.0,0,2.0,1.0,2.0,480.0,480000,6700000.0,7.164179104477612
andheri,3,56000,1250.0,2,3.0,1.0,2.0,1020.0,672000,12500000.0,5.376
andheri,3,59000,1250.0,0,3.0,2.0,2.0,1020.0,708000,12500000.0,5.664000000000001
andheri,2,43000,950.0,2,2.0,1.0,2.0,730.0,516000,9500000.0,5.431578947368421
andheri,2,39000,950.0,1,2.0,2.0,2.0,850.0,468000,9500000.0,4.926315789473684
andheri,1,8500,250.0,1,1.0,1.0,1.0,200.0,102000,2500000.0,4.08
andheri,3,74000,1500.0,1,3.0,1.0,3.0,1200.0,888000,15000000.0,5.92
andheri,0,30000,650.0,0,2.0,1.0,2.0,450.0,360000,6500000.0,5.538461538461538
andheri,3,74500,1500.0,1,3.0,2.0,2.0,1200.0,894000,15000000.0,5.96
andheri,0,27000,720.0,2,2.0,2.0,0.0,500.0,324000,7200000.0,4.5
andheri,0,39000,710.0,0,2.0,1.0,2.0,510.0,468000,7100000.0,6.591549295774649
